id;question_group;question_header;question_type;question_body;question_answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1;1;;select;In what year you were born;[[1922, '1922'], [1923, '1923'],[1924, '1924'],[1925, '1925'],[1926, '1926'],[1927, '1927'], [1928, '1928'], [1929, '1929'], [1930, '1930'], [1931, '1931'], [1932, '1932'], [1933, '1933'], [1934, '1934'], [1935, '1935'], [1936, '1936'], [1937, '1937'], [1938, '1938'], [1939, '1939'], [1940, '1940'], [1941, '1941'], [1942, '1942'], [1943, '1943'], [1944, '1944'], [1945, '1945'], [1946, '1946'], [1947, '1947'], [1948, '1948'], [1949, '1949'], [1950, '1950'], [1951, '1951'], [1952, '1952'], [1953, '1953'], [1954, '1954'], [1955, '1955'],[1956, '1956'], [1957, '1957'], [1958, '1958'], [1959, '1959'], [1960, '1960'], [1961, '1961'], [1962, '1962'], [1963, '1963'], [1964, '1964'], [1965, '1965'], [1966, '1966'], [1967, '1967'], [1968, '1968'], [1969, '1969'],[1970, '1970'],[1971, '1971'], [1972, '1972'], [1973, '1973'], [1974, '1974'], [1975, '1975'], [1976, '1976'], [1977, '1977'], [1978, '1978'], [1979, '1979'], [1980, '1980'], [1981, '1981'], [1982, '1982'], [1983, '1983'], [1984, '1984'], [1985, '1985'], [1986, '1986'], [1987, '1987'], [1988, '1988'], [1989, '1989'],[1990, '1990'], [1991, '1991'], [1992, '1992'], [1993, '1993'],[1994, '1994'],[1995, '1995'], [1996, '1996'], [1997, '1997'], [1998, '1998'], [1999, '1999'], [2000, '2000'], [2001, '2001'], [2002, '2002'], [2003, '2003'], [2004, '2004']]
2;1;;select;Please indicate your gender;[[0, 'Female'], [1, 'Male'], [2, 'Other']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3;1;;select;Please indicate your highest level of education completed;[[1, 'Less than a high school'], [2, 'High school'], [3, 'Bachelor's degree'], [4, 'Master's degree'], [5, 'PhD']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4;2;;radio;How many initial recommendations did the system provide in the choice task?;[[1, '5'],[2, '7'], [3, '10'], [4, '15']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5;3;For the following statements," please rate how much you agree with them. Use the following scale: 1-strongly disagree to 7- strongly agree;radio;Using this recommendation system improves my performance  during this task;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6;3;null;radio;Using this recommendation system increases my productivity in performing this task;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7;3;null;radio;Using this recommendation system enhances my effectiveness in performing this task;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8;3;null;radio;I find the recommendation system to be useful in performing this task;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9;4;For the following statements," please rate how much you agree with them. Use the following scale: 1-strongly disagree to 7- strongly agree;radio;My interaction with the recommendation system is clear and understandable;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10;4;null;radio;Interaction with the recommendation system does not require a lot of mental effort;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11;4;null;radio;I find the recommendation system easy to use;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12;4;null;radio;I find the recommendation system easy to do what I wanted it to do;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13;5;For the following statements," please rate how much you agree with them. Use the following scale: 1-strongly disagree to 7- strongly agree;radio;I have control over how the recommendations are generated;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14;5;null;radio;I have resources necessary to control how the recommendations are generated;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15;5;null;radio;I have knowledge necessary to control how the recommendations are generated;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16;5;null;radio;Given the resources, opportunity and the knowledge it takes to control how the recommendations are generated," it would be easy for me to do it;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17;6;For the following statements, please rate how much you agree with them. Use the following scale: 1-strongly disagree to 7- strongly agree;radio;Assuming I hadd access to this recommendation system," I intend to use it for similar tasks;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18;6;null;radio;Given I had access to the recommendation system," I predict that I would use it for similar tasks;""[[1", '1'], [2, '2'], [3, '3'], [4, '4'], [5, '5'], [6, '6'], [7," '7']]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
